"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.spring.boot2.MigrateRestTemplateBuilderTimeoutByInt","8","2","0","0.0","0","156854","86000.0","84658"
"org.openrewrite.java.spring.boot2.MigrateSpringBootServletInitializerPackageName","8","2","11852","3568.0","3476","11593","3568.0","3527"
"org.openrewrite.java.spring.ChangeSpringPropertyValue","8","2","0","0.0","0","193401","118768.0","116107"
"org.openrewrite.maven.RemoveExclusion","8","2","0","0.0","0","5894366","3014654.0","2958800"
"org.openrewrite.java.testing.junit5.EnclosedToNested","8","2","0","0.0","0","100931","42992.0","41488"
"org.openrewrite.java.spring.data.UseJpaRepositoryDeleteAllInBatch","8","2","15080","2808.0","2785","20921","2656.0","2645"
"org.openrewrite.java.testing.mockito.MockUtilsToStatic","8","2","0","0.0","0","89759","40944.0","40116"
"org.openrewrite.java.spring.boot2.MigrateErrorPropertiesIncludeStackTraceConstants","8","2","0","0.0","0","102923","42992.0","41157"
"org.openrewrite.java.spring.boot2.UnnecessarySpringRunWith","8","2","13503","4832.0","4778","10071","3296.0","3266"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_1","8","2","46589","3192.0","3106","72975","14840.0","14358"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_2","8","2","45421","6392.0","6372","61788","7408.0","7243"
"org.openrewrite.java.spring.boot2.MigrateHttpMessageConvertersPackageName","8","2","9589","3184.0","3086","12623","3040.0","3005"
"org.openrewrite.java.RemoveAnnotationAttribute","8","2","0","0.0","0","805759","40952.0","40446"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_0","8","2","54239","4088.0","4088","58422","3704.0","3707"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_5","8","2","27343","6904.0","6683","22691","2808.0","2765"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_6","8","2","16603","2936.0","2936","14364","3184.0","3096"
"org.openrewrite.java.spring.NoAutowiredOnConstructor","8","2","0","0.0","0","3453104","3407864.0","3378335"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_3","8","2","36639","2936.0","2855","51248","19440.0","18715"
"org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_2_4","8","2","28268","2680.0","2605","54382","16368.0","16170"
"org.openrewrite.maven.UpgradePluginVersion","8","2","0","0.0","0","3005751","983038.0","978265"
"org.openrewrite.java.testing.junit5.UseTestMethodOrder","8","2","0","0.0","0","106981","42992.0","41478"
"org.openrewrite.java.spring.framework.JdbcTemplateObjectArrayArgToVarArgs","8","2","0","0.0","0","118449","59384.0","58129"
"org.openrewrite.java.spring.boot2.MigrateActuatorMediaTypeToApiVersion","8","2","0","0.0","0","777237","344048.0","340218"
"org.openrewrite.java.spring.boot2.MigrateErrorControllerPackageName","8","2","8486","3064.0","2986","174429","163808.0","160051"
"org.openrewrite.java.testing.junit5.CleanupJUnitImports","8","2","0","0.0","0","108364","36848.0","35526"
"org.openrewrite.java.spring.boot2.MigrateHsqlEmbeddedDatabaseConnection","8","2","0","0.0","0","86343","43000.0","41247"
