"Source path before the run","Source path after the run","Parent of the recipe that made changes","Recipe that made changes","Estimated time saving","Cycle"
"The source path of the file before the run. `null` when a source file was created during the run.","A recipe may modify the source path. This is the path after the run. `null` when a source file was deleted during the run.","In a hierarchical recipe, the parent of the recipe that made a change. Empty if this is the root of a hierarchy or if the recipe is not hierarchical at all.","The specific recipe that made a change.","An estimated effort that a developer to fix manually instead of using this recipe, in unit of seconds.","The recipe cycle in which the change was made."
"java-service/pom.xml","java-service/pom.xml","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6","org.openrewrite.maven.UpgradeParentVersion","300","1"
"java-service/pom.xml","java-service/pom.xml","","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_6","300","1"
"java-service/pom.xml","java-service/pom.xml","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","org.openrewrite.maven.UpgradeParentVersion","300","1"
"java-service/src/main/java/com/example/legacy/SecurityConfig.java","java-service/src/main/java/com/example/legacy/SecurityConfig.java","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_7","org.openrewrite.java.spring.security5.WebSecurityConfigurerAdapter","300","1"
"java-service/src/main/java/com/example/legacy/SecurityConfig.java","java-service/src/main/java/com/example/legacy/SecurityConfig.java","","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_7","300","1"
